PRODUCT_ID,CATEGORY_ID
"21901451","1320"
"22123130","1320"
"22123153","2022"
"22202670","1320"
"22202671","1320"
"22289948","1320"
"22289957","1320"
"22290048","1320"
"22325629","1320"
"22628031","1320"
"22628099","1320"
"23086297","1320"
"23101989","1320"
"23101990","1320"
"23102000","1320"
"23102003","1320"
"23188267","1320"
"23248787","1320"
"23293715","1320"
"23297625","1320"
"23297626","1320"
"23297632","1320"
"23297639","1320"
"23297804","1320"
"23396609","1320"
"24217174","2022"
"24217175","1396"
"24360492","1320"
"24375823","1320"
"24375831","1320"
"24411580","1320"
"24411679","1320"
"24481854","1320"
"24481857","1320"
"24481860","1320"
"24481861","1320"
"24481862","1320"
"24508110","1320"
"24508650","1320"
"24508659","1320"
"24585119","4323"
"24619180","1320"
"24619182","1320"
"24780169","1320"
"24780195","1320"
"24780223","1320"
"25119483","1320"
"25156003","1320"
"25156008","1320"
"25395504","1320"
"25404896","1320"
"25588729","1320"
"25880386","1320"
"26028035","1320"
"26065483","1396"
"26065484","1396"
"26137579","6333"
"26137580","6333"
"26170505","1320"
"26171070","1320"
"26171071","1320"
"26215766","1320"
"26215773","1320"
"26215775","1320"
"26228069","1320"
"26232944","1320"
"26232948","1320"
"26232952","1320"
"26232954","1320"
"26242745","1320"
"26242746","1320"
"26304844","1320"
"26304845","1320"
"26406115","1320"
"26426393","1320"
"26436402","1396"
"26508170","1396"
"26508185","1396"
"26508186","1396"
"26508191","1396"
"26509202","1320"
"26848534","1320"
"26891139","1320"
"26923243","1320"
"26933805","1320"
"26961261","1320"
"26972601","1320"
"26999117","1320"
"26999123","1717"
"27081855","1320"
"27081867","1320"
"27183079","1310"
"27214088","1320"
"27214090","1320"
"27214091","1320"
"27214096","1320"
"27214167","1320"
"27214171","1320"
"27214173","1320"
"27214266","1320"
"27238367","1396"
"27261515","1320"
"27278179","1320"
"28479755","1310"
"28572662","1320"
"29282647","1320"
"29282651","1320"
"29375295","1396"
"29375297","1396"
"29375301","1396"
"29375303","1396"
"29375305","1396"
"29375306","1396"
"29375307","1396"
"29379586","1320"
"29387463","1320"
"29387466","1320"
"29387505","1320"
"29508551","1320"
"29524949","1396"
"29524951","1396"
"29537204","1320"
"29537208","1320"
"29541265","4430"
"29689528","1320"
"29719858","1320"
"29731118","1320"
"29735778","1320"
"29735780","1320"
"30014674","1396"
"30097060","1320"
"30296254","1320"
"30381609","1310"
"30521353","1396"
"30521354","1396"
"30521355","1396"
"30521356","1396"
"30521362","1396"
"30590987","1396"
"30650881","2022"
"30696829","1396"
"30696830","1396"
"30696834","1396"
"30956484","1320"
"31029798","1396"
"31039948","1396"
"31040010","1310"
"31173903","1396"
"31173905","1396"
"31542257","1396"
"31613033","4650"
"32126652","1396"
"32126667","1396"
"32126670","1396"
"32126671","1396"
"32126680","1396"
"32126688","1396"
"32126694","1396"
"32126695","1396"
"32126696","1396"
"32276105","1310"
"32294896","1396"
"32294900","1396"
"32294902","1396"
"32294908","1396"
"32294913","1396"
"32294918","1396"
"32353794","1396"
"32353795","1396"
"32353796","1396"
"32507564","1320"
"32774980","1310"
"32787223","2022"
"32871548","1396"
"32878756","4650"
"32928933","1396"
"32928940","1396"
"32928941","1396"
"32928942","1396"
"32928946","1396"
"32928950","1396"
"32928951","1396"
"32928956","1396"
"32928957","1396"
"32928965","1396"
"32928969","1396"
"32928970","1396"
"32928972","1396"
"32928973","1396"
"32928975","1396"
"32928979","1396"
"32928986","1396"
"32928991","1396"
"32928992","1396"
"32929001","1396"
"32929034","1320"
"33066943","1396"
"33066949","1396"
"33066952","1396"
"33124544","4650"
"33124545","4650"
"33124546","4650"
"33124547","4650"
"33137403","1320"
"33209982","1320"
"33241333","1396"
"33241334","1396"
"33241335","1396"
"33241340","1396"
"33241344","1396"
"33241360","1396"
"33241363","1396"
"33241383","1396"
"33265101","4650"
"33286833","1320"
"33396041","1320"
"33419149","1320"
"33435073","1320"
